ID,Nombre,Código,Nemotécnico,Número,Propietario,Tiene SCADA,Tiene Equipos Com,Tiene Pararrayos
277,S/E CENTRAL GUACOLDA,SE001,SE001G0011,1,GUACOLDA ENERGÍA SPA,Sí,Sí,Sí
278,S/E PLANTA MATTA,SE004,SE004G0011,4,GUACOLDA ENERGÍA SPA,No,No,No
280,S/E ACONCAGUA,SE022,SE022T0061,22,ALFA TRANSMISORA DE ENERGÍA S.A.,No,Sí,Sí
281,S/E ESPERANZA,SE023,SE023T0061,23,ALFA TRANSMISORA DE ENERGÍA S.A.,No,Sí,Sí
283,S/E CALERA CENTRO,SE027,SE027T0061,27,ALFA TRANSMISORA DE ENERGÍA S.A.,No,Sí,Sí
284,S/E CERRO CALERA,SE028,SE028T0061,28,ALFA TRANSMISORA DE ENERGÍA S.A.,No,Sí,Sí
285,S/E CENTRAL LOS QUILOS,SE029,SE029G0004,29,COLBÚN S.A.,No,Sí,Sí
288,S/E CENTRAL LIRCAY,SE003,SE003G0071,3,HIDROELÉCTRICA RÍO LIRCAY S.A.,Sí,Sí,Sí
289,S/E CENTRAL MAMPIL,SE001,SE001G0014,1,DUQUECO SPA,Sí,Sí,Sí
290,S/E CENTRAL PEUCHEN,SE002,SE002G0014,2,DUQUECO SPA,Sí,Sí,Sí
291,S/E CENTRAL COLMITO,SE001,SE001G0123,1,CENTRAL COLMITO S.A.,No,No,No
292,S/E CENTRAL LA HIGUERA,SE002,SE002T0827,2,LA HIGUERA TRANSMISIÓN S.A.,No,No,No
293,S/E CENTRAL LA CONFLUENCIA,SE001,SE001T0841,1,LA CONFLUENCIA TRANSMISIÓN S.A.,No,No,No
294,S/E CENTRAL LOS ESPINOS,SE001,SE001G0042,1,ESPINOS S.A.,No,No,Sí
295,S/E CENTRAL TOTORAL 1,SE001,SE001G0051,1,NORVIND S.A.,No,No,No
296,S/E TOTORAL 2,SE002,SE002G0051,2,NORVIND S.A.,No,No,Sí
297,S/E CENTRAL ESCUADRON,SE001,SE001G0032,1,ELÉCTRICA NUEVA ENERGÍA S.A.,No,No,No
299,S/E CENTRAL CHACABUQUITO,SE019,SE019G0004,19,COLBÚN S.A.,No,Sí,Sí
300,S/E LOS MAQUIS,SE020,SE020T0061,20,ALFA TRANSMISORA DE ENERGÍA S.A.,No,Sí,Sí
