ID,Nombre,Tipo,Propietario,Región,Comuna,Nemotécnico,Coordinado
242,HP MC2,Hidroeléctricas,HIDROENERSUR SPA,Los Lagos,Puerto Octay,CE02G0476,HIDROENERSUR SPA
243,PMGD HP ROBLERIA,Hidroeléctricas,HIDROELÉCTRICA ROBLERIA SPA,Maule,Linares,CE01G0115,HIDROELÉCTRICA ROBLERIA SPA
244,HP RIO HUASCO,Hidroeléctricas,HIDROELÉCTRICA RÍO HUASCO S.A.,Atacama,Vallenar,CE01G0117,HIDROELÉCTRICA RÍO HUASCO S.A.
246,HP SAN ANDRES,Hidroeléctricas,HIDROELÉCTRICA SAN ANDRÉS SPA,OHiggins,San Fernando,CE01G0118,HIDROELÉCTRICA SAN ANDRÉS SPA
247,PFV LLANO DE LLAMPOS,Solares,AMANECER SOLAR SPA,Atacama,Copiapó,CE01G0119,AMANECER SOLAR SPA
248,PFV SAN ANDRES,Solares,SAN ANDRÉS SPA,Atacama,Copiapó,CE01G0120,AELA GENERACIÓN S.A.
249,PMGD HP CONTRA,Hidroeléctricas,EMPRESA ELÉCTRICA CONTRA SPA,Los Ríos,Río Bueno,CE01G0754,GR POWER CHILE SPA
251,PE CUEL,Eólicas,AELA EÓLICA NEGRETE SPA,Biobío,Los Angeles,CE01G0122,AELA GENERACIÓN S.A.
252,TER CMPC LAJA,Termoeléctricas,CMPC PULP SPA.,Biobío,Laja,CE02A0021,BIOENERGÍAS FORESTALES SPA
253,PMGD TER LOS ALAMOS,Termoeléctricas,SAGESA S.A.,Biobío,Los Alamos,CE16G0018,SOCIEDAD GENERADORA AUSTRAL S.A.
254,PMGD TER CONTULMO,Termoeléctricas,SAGESA S.A.,Biobío,Contulmo,CE17G0018,SOCIEDAD GENERADORA AUSTRAL S.A.
255,PMGD TER TRONGOL-CURANILAHUE,Termoeléctricas,SAGESA S.A.,Biobío,Curanilahue,CE18G0018,SOCIEDAD GENERADORA AUSTRAL S.A.
256,PMGD TER LEBU,Termoeléctricas,SAGESA S.A.,Biobío,Lebu,CE19G0018,SOCIEDAD GENERADORA AUSTRAL S.A.
257,PMGD HP LOS CORRALES II,Hidroeléctricas,LÁGRIMAS DEL SUR SPA,Los Ríos,Río Bueno,CE03G0125,EMPRESA ELÉCTRICA CAPULLO S.A.
258,HP RENAICO,Hidroeléctricas,ESPINOS S.A.,Biobío,Mulchén,CE08G0042,ESPINOS S.A.
259,TER CMPC PACIFICO,Termoeléctricas,CMPC PULP SPA.,Araucanía,Collipulli,CE01A0021,BIOENERGÍAS FORESTALES SPA
261,PMGD HP LAS VERTIENTES,Hidroeléctricas,ELÉCTRICA PUNTILLA S.A.,Metropolitana,Pirque,CE02G0019,ELÉCTRICA PUNTILLA S.A.
262,PMGD HP EL LLANO,Hidroeléctricas,ELÉCTRICA PUNTILLA S.A.,Metropolitana,Pirque,CE03G0019,ELÉCTRICA PUNTILLA S.A.
263,HP LOS HIERROS,Hidroeléctricas,EMPRESA ELÉCTRICAS AGUAS DEL MELADO SPA,Maule,Colbún,CE01G0112,EMPRESA ELÉCTRICAS AGUAS DEL MELADO SPA
264,HE ANGOSTURA,Hidroeléctricas,COLBÚN S.A.,Biobío,Santa Bárbara,CE15G0004,COLBÚN S.A.
265,PMGD TER COELEMU,Termoeléctricas,ENERGÍA LEÓN S.A.,Ñuble,Coelemu,CE01G0133,ENERGÍA LEÓN S.A.
267,PMGD HP QUILLAILEO,Hidroeléctricas,CENTRAL HIDROELÉCTRICA QUILLAILEO SPA,Biobío,Santa Bárbara,CE01G0880,COPIAPÓ ENERGÍA SOLAR SPA
268,PE SAN PEDRO,Eólicas,ALBA SPA,Los Lagos,Dalcahue,CE01G0136,ALBA SPA
269,PFV DIEGO DE ALMAGRO,Solares,ARCADIA GENERACIÓN SOLAR S.A.,Atacama,Diego de Almagro,CE12G0975,ARCADIA GENERACIÓN SOLAR S.A.
270,PMGD HP ALLIPEN,Hidroeléctricas,HIDROELECTRICA ALLIPÉN S.A.,Araucanía,Cunco,CE01G0092,HIDROELECTRICA ALLIPÉN S.A.
275,TER CMPC SANTA FE,Termoeléctricas,CMPC PULP SPA.,Biobío,Nacimiento,CE03A0021,BIOENERGÍAS FORESTALES SPA
276,PE EL ARRAYAN,Eólicas,PARQUE EÓLICO EL ARRAYÁN SPA,Coquimbo,Ovalle,CE01G0130,PARQUE EÓLICO EL ARRAYÁN SPA
278,PMGD PFV SANTA CECILIA,Solares,COMMONPLACE ENERGY SPA,Atacama,Vallenar,CE01G0140,COMMONPLACE ENERGY SPA
280,PMGD HP PICHILONCO,Hidroeléctricas,HIDROELÉCTRICA PICHILONCO S.A.,Los Ríos,Lago Ranco,CE02G0174,HIDROELÉCTRICA PICHILONCO S.A.
281,PE UCUQUER II,Eólicas,ENERGÍAS UCUQUER DOS S.A.,OHiggins,Litueche,CE01G0142,ENERGÍAS UCUQUER DOS S.A.
282,PE PUNTA PALMERAS,Eólicas,PUNTA PALMERAS S.A.,Coquimbo,Canela,CE01G0144,PUNTA PALMERAS S.A.
283,PE TALTAL,Eólicas,ENEL GREEN POWER CHILE S.A.,Antofagasta,Taltal,CE13G0292,ENEL GREEN POWER CHILE S.A.
284,PFV LALACKAMA,Solares,ENEL GREEN POWER CHILE S.A.,Antofagasta,Taltal,CE14G0292,ENEL GREEN POWER CHILE S.A.
285,PFV CHAÑARES,Solares,ENEL GREEN POWER CHILE S.A.,Atacama,Diego de Almagro,CE15G0292,ENEL GREEN POWER CHILE S.A.
286,HP LLAUQUEREO,Hidroeléctricas,HIDROELÉCTRICA LLEUQUEREO S.A.,Biobío,Santa Bárbara,CE01G0147,HIDROELÉCTRICA LLEUQUEREO S.A.
287,HP LOS HIERROS II,Hidroeléctricas,EMPRESA ELÉCTRICA PORTEZUELO SPA,Maule,Colbún,CE01G0145,BESALCO ENERGÍA RENOVABLE S.A.
288,PFV SALVADOR,Solares,PV SALVADOR S.A.,Atacama,Diego de Almagro,CE01G0141,AELA GENERACIÓN S.A.
289,PE TALINAY PONIENTE,Eólicas,ENEL GREEN POWER CHILE S.A.,Coquimbo,Ovalle,CE16G0292,ENEL GREEN POWER CHILE S.A.
290,HP PULELFU,Hidroeléctricas,EMPRESA ELÉCTRICA LA LEONERA S.A.,Los Lagos,Puyehue,CE01G0148,EMPRESA ELÉCTRICA LA LEONERA S.A.
291,HP ALTO RENAICO,Hidroeléctricas,ESPINOS S.A.,Biobío,Mulchén,CE06G0042,ESPINOS S.A.
292,HP LAJA I,Hidroeléctricas,EÓLICA MONTE REDONDO SPA,Biobío,Laja,CE02G0050,EÓLICA MONTE REDONDO SPA
293,HP RIO PICOIQUEN,Hidroeléctricas,HIDROANGOL SPA,Araucanía,Angol,CE01G0150,HIDROENERSUR SPA
294,TER LOS GUINDOS,Termoeléctricas,LOS GUINDOS GENERACIÓN SPA,Biobío,Cabrero,CE01G0149,LOS GUINDOS GENERACIÓN SPA
295,PMGD PE UCUQUER,Eólicas,ENERGÍAS UCUQUER S.A.,OHiggins,Litueche,CE01G0170,ENERGÍAS UCUQUER S.A.
296,PMGD TER ANCALI,Termoeléctricas,AGRÍCOLA ANCALÍ LIMITADA,Biobío,Los Angeles,CE01G0152,AGRÍCOLA ANCALÍ LIMITADA
297,PMGD TER BIO CRUZ,Termoeléctricas,TOMAVAL GENERACIÓN S.A.,Valparaíso,La Cruz,CE01G0153,BIOCRUZ GENERACIÓN S.A.
298,PMGD HP BOQUIAMARGO,Hidroeléctricas,ELÉCTRICA SAN MIGUEL SPA,Biobío,Alto Biobío,CE01G0154,GESTIÓN DE PROYECTOS ELÉCTRICOS S.A
299,PMGD HP COLLIL,Hidroeléctricas,ENERGÍA COLLIL S.A.,Los Lagos,Chonchi,CE01G0155,ENERGÍA COLLIL S.A.
300,PMGD HP DON WALTERIO,Hidroeléctricas,GENERADORA ELÉCTRICA RHOM LTDA,Los Ríos,Río Bueno,CE01G0069,GENERADORA ELÉCTRICA RHOM LTDA
301,PMGD HP LAS FLORES,Hidroeléctricas,HIDROELÉCTRICA LAS FLORES S.A.,Los Ríos,Futrono,CE01G0158,HIDROELÉCTRICA LAS FLORES S.A.
302,PMGD HP LOS COLONOS,Hidroeléctricas,EMPRESA ELÉCTRICA RÍO PUMA S.A.,Los Lagos,Puerto Octay,CE01G0159,ENERGY PARTNERS SPA
303,PMGD HP LOS PADRES,Hidroeléctricas,LOS PADRES HIDRO SPA,Biobío,Quilleco,CE01G0160,LOS PADRES HIDRO SPA
304,PMGD HP MARIA ELENA,Hidroeléctricas,GENERADORA ELÉCTRICA MARÍA ELENA LTDA,Los Lagos,Puyehue,CE01G0162,GENERADORA ELÉCTRICA MARÍA ELENA LTDA
305,PMGD PFV LAS TERRAZAS,Solares,ENERGÍA ATACAMA S.A.,Atacama,Tierra Amarilla,CE03G0175,ENERGÍA ATACAMA S.A.
306,PMGD PFV PAMA,Solares,PSF PAMA S.A.,Coquimbo,Combarbalá,CE01G0164,PSF PAMA S.A.
307,PMGD PFV LOMAS COLORADAS,Solares,PSF LOMAS COLORADAS S.A.,Coquimbo,Combarbalá,CE01G0163,PSF LOMAS COLORADAS S.A.
308,PMGD PFV TECHOS DE ALTAMIRA,Solares,EERM ENERGÍAS DEL FUTURO S.A.,Metropolitana,Peñalolén,CE01G0166,EERM ENERGÍAS DEL FUTURO S.A.
309,PMGD PFV TAMBO REAL,Solares,GENERADORA ELÉCTRICA KALTEMP LTDA.,Coquimbo,Vicuña,CE01G0167,GENERADORA ELÉCTRICA KALTEMP LTDA.
310,PMGD HP EL CANELO,Hidroeléctricas,HIDROELÉCTRICA EL CANELO S.A.,Araucanía,Melipeuco,CE02G0176,HIDROELÉCTRICA EL CANELO S.A.
311,PMGD HP ENSENADA,Hidroeléctricas,HIDROELÉCTRICA ENSENADA S.A.,Los Lagos,Puerto Varas,CE01G0156,HIDROELÉCTRICA ENSENADA S.A.
312,PMGD HP MAISAN,Hidroeléctricas,HIDROELÉCTRICA MAISÁN SPA,Araucanía,Pitrufquén,CE01G0761,HIDROELÉCTRICA MAISÁN SPA
313,PMGD TER ESTANCILLA,Termoeléctricas,GENERADORA ESTANCILLA SPA,Metropolitana,San Bernardo,CE01G0157,GENERADORA ESTANCILLA SPA
314,PFV JAVIERA,Solares,JAVIERA SPA,Atacama,Chañaral,CE01G0168,JAVIERA SPA
315,PMGD HP EL ARRAYAN,Hidroeléctricas,ENERGÍAS RENOVABLES EL ARRAYAN LTDA,Los Ríos,Río Bueno,CE01G0169,SAFIRA ENERGÍA CHILE SPA
318,PE LOS CURUROS,Eólicas,PARQUE EÓLICO LOS CURUROS SPA,Coquimbo,Ovalle,CE15G0132,PARQUE EÓLICO LOS CURUROS SPA
319,PFV LUZ DEL NORTE,Solares,PARQUE SOLAR FOTOVOLTAICO LUZ DEL NORTE SPA,Atacama,Copiapó,CE01G0171,PARQUE SOLAR FOTOVOLTAICO LUZ DEL NORTE SPA
320,PMGD PFV HORNITOS,Solares,SOLARITY SPA,Atacama,Tierra Amarilla,CE01G0851,SOLARITY SPA
321,PMGD HP CURILEUFU,Hidroeléctricas,SOCIEDAD AGRÍCOLA Y GANADERA CURILEUFU LTDA.,Los Ríos,Río Bueno,CE01G0173,SOCIEDAD AGRÍCOLA Y GANADERA CURILEUFU LTDA.
323,HP CARILAFQUEN,Hidroeléctricas,EMPRESA ELÉCTRICA CARÉN S.A.,Araucanía,Melipeuco,CE01G0177,EMPRESA ELÉCTRICA CARÉN S.A.
324,HP MALALCAHUELLO,Hidroeléctricas,EMPRESA ELÉCTRICA CARÉN S.A.,Araucanía,Melipeuco,CE02G0177,EMPRESA ELÉCTRICA CARÉN S.A.
325,PMGD HP DOSAL,Hidroeléctricas,DOSAL HNOS Y CIA LTDA,Maule,Curicó,CE01G0178,DOSAL HNOS Y CIA LTDA
326,TER CMPC CORDILLERA,Termoeléctricas,PAPELES CORDILLERA SPA,Metropolitana,Puente Alto,CE01L0079,BIOENERGÍAS FORESTALES SPA
327,HP EL PASO,Hidroeléctricas,HIDROELÉCTRICA EL PASO SPA,OHiggins,San Fernando,CE01G0179,HIDROELÉCTRICA EL PASO SPA
328,HP ITATA,Hidroeléctricas,ELÉCTRICA PUNTILLA S.A.,Ñuble,Yungay,CE09G0019,ELÉCTRICA PUNTILLA S.A.
329,TER CMPC TISSUE,Termoeléctricas,CMPC TISSUE S.A.,Metropolitana,Talagante,CE01L0103,BIOENERGÍAS FORESTALES SPA
330,TER ANDES GENERACION,Termoeléctricas,ANDES GENERACIÓN SPA,Atacama,Diego de Almagro,CE01G0146,ANDES GENERACIÓN SPA
331,PFV PILAR LOS AMARILLOS,Solares,RTS ENERGÍA S.A.,Atacama,Diego de Almagro,CE01G0129,RTS ENERGÍA S.A.
332,PFV PAMPA SOLAR NORTE,Solares,ARCADIA GENERACIÓN SOLAR S.A.,Antofagasta,Taltal,CE07G0975,ARCADIA GENERACIÓN SOLAR S.A.
333,PMGD PFV LUNA DEL NORTE,Solares,PARQUE SOLAR LUNA DEL NORTE SPA,Coquimbo,Vicuña,CE08G0181,TRALKA SPA
334,PMGD PE RAKI,Eólicas,RAKI SPA,Biobío,Lebu,CE01G0182,IEH SOLAR CHILE SPA
335,PMGD HP BUREO,Hidroeléctricas,PMGD BIO BIO NEGRETE S.A.,Biobío,Negrete,CE01G0183,PMGD BIO BIO NEGRETE S.A.
336,PMGD HP TRAILELFU,Hidroeléctricas,HIDROELÉCTRICA TRAILELFU SPA,Araucanía,Villarrica,CE03G0186,HIDROELÉCTRICA TRAILELFU SPA
337,PFV CARRERA PINTO,Solares,ARCADIA GENERACIÓN SOLAR S.A.,Atacama,Copiapó,CE08G0975,ARCADIA GENERACIÓN SOLAR S.A.
338,PMGD HP MUNILQUE,Hidroeléctricas,PMGD BIO BIO NEGRETE S.A.,Biobío,Mulchén,CE02G0183,PMGD BIO BIO NEGRETE S.A.
339,PMGD PFV SOL DEL NORTE,Solares,PARQUE SOLAR SOL DEL NORTE SPA,Coquimbo,Vicuña,CE09G0638,TRALKA SPA
341,PMGD HP MUNILQUE II,Hidroeléctricas,PMGD BIO BIO NEGRETE S.A.,Biobío,Mulchén,CE03G0183,PMGD BIO BIO NEGRETE S.A.
342,PE RENAICO I,Eólicas,ENEL GREEN POWER CHILE S.A.,Araucanía,Renaico,CE04G0292,ENEL GREEN POWER CHILE S.A.
343,PMGD HP EL MIRADOR,Hidroeléctricas,EL MIRADOR SPA,Biobío,Alto Biobío,CE01G1018,EL MIRADOR SPA
344,PFV LALACKAMA II,Solares,ENEL GREEN POWER CHILE S.A.,Antofagasta,Taltal,CE17G0292,ENEL GREEN POWER CHILE S.A.
345,PE LOS BUENOS AIRES,Eólicas,ENEL GREEN POWER CHILE S.A.,Biobío,Los Angeles,CE05G0292,ENEL GREEN POWER CHILE S.A.
346,PFV ESPERANZA,Solares,RTS ENERGÍA S.A.,Atacama,Diego de Almagro,CE02G0129,RTS ENERGÍA S.A.
348,PFV LA SILLA,Solares,ENEL GREEN POWER CHILE S.A.,Coquimbo,La Higuera,CE09G0292,ENEL GREEN POWER CHILE S.A.
349,PFV QUILAPILUN,Solares,CHUNGUNGO S.A.,Metropolitana,Colina,CE01G0188,CHUNGUNGO S.A.
350,PMGD PE HUAJACHE,Eólicas,HUAJACHE SPA,Biobío,Lebu,CE01G0189,IEH SOLAR CHILE SPA
352,PMGD HP RIO MULCHEN,Hidroeléctricas,CENTRAL HIDROELÉCTRICA RÍO MULCHÉN S.A.,Biobío,Mulchén,CE01G0191,CENTRAL HIDROELÉCTRICA RÍO MULCHÉN S.A.
353,PMGD PFV LA CHAPEANA,Solares,LA CHAPEANA SPA,Coquimbo,Ovalle,CE01G0193,LA CHAPEANA SPA
354,PMGD PFV  LAS MOLLACAS,Solares,LAS MOLLACAS SPA,Coquimbo,Ovalle,CE01G0192,LAS MOLLACAS SPA
355,PFV LOS LOROS,Solares,SOLAR LOS LOROS SPA,Atacama,Tierra Amarilla,CE01G0194,SOLAR LOS LOROS SPA
356,PFV CONEJO SOLAR,Solares,CONEJO SOLAR SPA,Antofagasta,Taltal,CE01G0195,CONEJO SOLAR SPA
357,PMGD PFV LAGUNILLA,Solares,GR PACIFIC PAN DE AZÚCAR SPA,Coquimbo,Ovalle,CE01G0196,IEH SOLAR CHILE SPA
358,PMGD TER EL MOLLE,Termoeléctricas,STERICYCLE URBANO SPA,Valparaíso,Valparaíso,CE04G0197,ENORCHILE S.A.
359,PMGD PFV TILTIL,Solares,TIL TIL SOLAR SPA,Metropolitana,Tiltil,CE01G0198,TIL TIL SOLAR SPA
360,PE LA ESPERANZA,Eólicas,EÓLICA LA ESPERANZA S.A.,Biobío,Negrete,CE01G0200,EÓLICA LA ESPERANZA S.A.
361,PMGD HP MOLINERA VILLARRICA,Hidroeléctricas,CIA MOLINERA VILLARRICA LTDA,Araucanía,Villarrica,CE02G0023,CIA MOLINERA VILLARRICA LTDA
362,PFV PILOTO SOLAR CARDONES,Solares,CENTRAL CARDONES S.A.,Atacama,Copiapó,CE02G0047,CENTRAL CARDONES S.A.
364,PFV SANTIAGO SOLAR,Solares,SANTIAGO SOLAR S.A.,Metropolitana,Tiltil,CE01G0203,SANTIAGO SOLAR S.A.
365,PE SAN JUAN,Eólicas,SAN JUAN S.A.,Atacama,Freirina,CE01G0204,COLBÚN S.A.
366,PE SAN PEDRO II,Eólicas,RÍO ALTO SPA,Los Lagos,Dalcahue,CE01G0199,RÍO ALTO SPA
367,PMGD PFV BELLAVISTA,Solares,PARQUE SOLAR BELLAVISTA SPA,Coquimbo,Illapel,CE01G0205,PARQUE SOLAR BELLAVISTA SPA
369,PMGD TER RASO POWER,Termoeléctricas,ELÉCTRICA RASO POWER LTDA.,Maule,Constitución,CE01G0207,ELÉCTRICA RASO POWER LTDA.
370,PMGD HP CUMPEO,Hidroeléctricas,HIDROELÉCTRICA CUMPEO S.A.,Maule,Molina,CE01G0209,ACIERTA ENERGÍA SPA
371,PMGD TER EL CANELO,Termoeléctricas,CENTRAL ELÉCTRICA EL CANELO SPA,Los Lagos,Puerto Varas,CE01G0210,IMELSA ENERGÍA SPA
372,PMGD PFV SANTA JULIA,Solares,SPV P4 SPA,Valparaíso,Petorca,CE02G0575,SPV P4 SPA
373,PMGD HP EL GALPON,Hidroeléctricas,ENERBOSCH S.A.,Maule,Río Claro,CE05G0054,ENERBOSCH S.A.
374,PFV ANDES SOLAR,Solares,ANDES SOLAR SPA,Antofagasta,Antofagasta,CE12G1076,ANDES SOLAR SPA
376,TER ANDINA,Termoeléctricas,ENGIE ENERGÍA CHILE S.A.,Antofagasta,Mejillones,CE13G0216,ENGIE ENERGÍA CHILE S.A.
377,TER ANGAMOS,Termoeléctricas,EMPRESA ELÉCTRICA ANGAMOS SPA,Antofagasta,Mejillones,CE01G0213,EMPRESA ELÉCTRICA ANGAMOS SPA
379,TER COCHRANE,Termoeléctricas,AES ANDES S.A.,Antofagasta,Mejillones,CE07G0010,AES ANDES S.A.
380,HP CHAPIQUIÑA,Hidroeléctricas,ENGIE ENERGÍA CHILE S.A.,Arica y Parinacota,Putre,CE01G0216,ENGIE ENERGÍA CHILE S.A.
381,TER ARICA,Termoeléctricas,ENGIE ENERGÍA CHILE S.A.,Arica y Parinacota,Arica,CE02G0216,ENGIE ENERGÍA CHILE S.A.
384,PFV PAMPA CAMARONES,Solares,ENGIE ENERGÍA CHILE S.A.,Arica y Parinacota,Camarones,CE05G0216,ENGIE ENERGÍA CHILE S.A.
385,PFV EL AGUILA,Solares,ENGIE ENERGÍA CHILE S.A.,Arica y Parinacota,Arica,CE06G0216,ENGIE ENERGÍA CHILE S.A.
386,TER MEJILLONES,Termoeléctricas,ENGIE ENERGÍA CHILE S.A.,Antofagasta,Mejillones,CE07G0216,ENGIE ENERGÍA CHILE S.A.
387,TER TOCOPILLA,Termoeléctricas,ENGIE ENERGÍA CHILE S.A.,Antofagasta,Tocopilla,CE08G0216,ENGIE ENERGÍA CHILE S.A.
389,PMGD TER ZOFRI,Termoeléctricas,ENORCHILE S.A.,Tarapacá,Iquique,CE02G0034,ENORCHILE S.A.
390,PMGD TER ESTANDARTES,Termoeléctricas,ENORCHILE S.A.,Tarapacá,Iquique,CE03G0034,ENORCHILE S.A.
391,TER MANTOS BLANCOS,Termoeléctricas,MANTOS COPPER S.A.,Antofagasta,Antofagasta,CE01L0123,MANTOS COPPER S.A.
393,TER ATACAMA,Termoeléctricas,ENEL GENERACIÓN CHILE S.A.,Antofagasta,Mejillones,CE23G0021,ENEL GENERACIÓN CHILE S.A.
394,PFV MARIA ELENA,Solares,GENERACIÓN SOLAR SPA,Antofagasta,María Elena,CE01G0220,GENERACIÓN SOLAR SPA
395,TER HORNITOS,Termoeléctricas,INVERSIONES HORNITOS SPA,Antofagasta,Mejillones,CE01G0234,INVERSIONES HORNITOS SPA
396,TER UJINA,Termoeléctricas,COMPAÑÍA DOÑA INÉS DE COLLAHUASI SCM,Tarapacá,Pica,CE01L0117,ENORCHILE S.A.
397,TER PLANTA DE ACIDO SULFURICO MEJILLONES,Termoeléctricas,NORACID S.A.,Antofagasta,Mejillones,CE01G0235,NORACID S.A.
398,TER AGUAS BLANCAS,Termoeléctricas,ON-GROUP S.A.,Antofagasta,Antofagasta,CE01G0064,ON-GROUP S.A.
399,PFV FINIS TERRAE,Solares,ENEL GREEN POWER CHILE S.A.,Antofagasta,María Elena,CE02G0292,ENEL GREEN POWER CHILE S.A.
400,PFV JAMA,Solares,PLANTA SOLAR SAN PEDRO III SPA,Antofagasta,Calama,CE01G0222,PLANTA SOLAR SAN PEDRO III SPA
401,PFV POZO ALMONTE SOLAR II,Solares,POZO ALMONTE SOLAR 2 S.A.,Tarapacá,Pozo Almonte,CE01G0223,POZO ALMONTE SOLAR 2 S.A.
402,PFV POZO ALMONTE SOLAR III,Solares,POZO ALMONTE SOLAR 3 S.A.,Tarapacá,Pozo Almonte,CE01G0224,POZO ALMONTE SOLAR 3 S.A.
403,PFV LA HUAYCA II,Solares,ENLIGHT INVESTMENTS SPA,Tarapacá,Pozo Almonte,CE01G1038,ENLIGHT INVESTMENTS SPA
404,TER KELAR,Termoeléctricas,TAMAKAYA ENERGÍA SPA,Antofagasta,Mejillones,CE01G0226,TAMAKAYA ENERGÍA SPA
405,TER LA PORTADA,Termoeléctricas,TECNET S.A.,Antofagasta,Antofagasta,CE01G0243,TECNET S.A.
406,PE VALLE DE LOS VIENTOS,Eólicas,ENEL GREEN POWER CHILE S.A.,Antofagasta,Calama,CE18G0292,ENEL GREEN POWER CHILE S.A.
408,PMGD TER HBS GNL,Termoeléctricas,HBS ENERGÍA S.A.,Biobío,Los Angeles,CE01G0126,HBS ENERGÍA S.A.
410,PMGD HP EL AGRIO,Hidroeléctricas,EL AGRIO HIDRO SPA,Araucanía,Curacautín,CE01G0272,EL AGRIO HIDRO SPA
411,PMGD PFV ALTOS DEL PAICO,Solares,SUNENERGREEN S.A.,Metropolitana,El Monte,CE01G0273,SUNENERGREEN S.A.
412,PMGD PFV CHUCHIÑI,Solares,SPV P4 SPA,Coquimbo,Salamanca,CE04G0575,SPV P4 SPA
413,PMGD TER MOLINA,Termoeléctricas,BIO ENERGÍA MOLINA SPA,Maule,Molina,CE01G0274,BIO ENERGÍA MOLINA SPA
414,PMGD PE LAS PEÑAS,Eólicas,EÓLICO LAS PEÑAS SPA,Biobío,Arauco,CE01G0275,EÓLICO LAS PEÑAS SPA
415,PMGD PFV EL DIVISADERO,Solares,DIVISADERO SPA.,Coquimbo,Punitaqui,CE01G0277,DIVISADERO SPA.
417,PMGD HP LA MONTAÑA,Hidroeléctricas,HIDROELÉCTRICA PUMA S.A.,Maule,Teno,CE01G0289,HIDROELÉCTRICA PUMA S.A.
418,PFV EL ROMERO,Solares,ACCIONA ENERGÍA CHILE HOLDINGS S.A.,Atacama,Vallenar,CE01G0265,ACCIONA ENERGÍA CHILE HOLDINGS S.A.
419,HP RIO COLORADO,Hidroeléctricas,HIDROELÉCTRICA RÍO COLORADO S.A.,Maule,San Clemente,CE01G0291,HIDROELÉCTRICA RÍO COLORADO S.A.
420,HP LA MINA,Hidroeléctricas,COLBÚN S.A.,Maule,San Clemente,CE20G0004,COLBÚN S.A.
423,PMGD HP EL COLORADO,Hidroeléctricas,DESARROLLO DE ENERGÍA SPA,Los Lagos,Puerto Montt,CE04G0384,ENERBOSCH S.A.
425,PFV DOÑA CARMEN SOLAR,Solares,ENERGÍA CERRO EL MORADO S.A.,Valparaíso,La Ligua,CE01G0271,ENERGÍA CERRO EL MORADO S.A.
426,PFV EL PELICANO,Solares,EL PELÍCANO SOLAR COMPANY SPA,Coquimbo,La Higuera,CE01G0246,EL PELÍCANO SOLAR COMPANY SPA
427,PMGD PFV CORDILLERILLA SOLAR,Solares,TEATINOS ENERGÍA S.A.,Maule,Curicó,CE01G0102,NEOELECTRA ENERGÍA CHILE SPA
428,PMGD PFV ALTURAS DE OVALLE,Solares,GR HUINGÁN SPA,Coquimbo,Ovalle,CE01G0247,IEH SOLAR CHILE SPA
429,PMGD PFV HORMIGA SOLAR,Solares,HORMIGA SOLAR SPA,Valparaíso,San Felipe,CE01G0108,HORMIGA SOLAR SPA
430,PMGD PFV SAN PEDRO,Solares,GR COIGÜE SPA,Metropolitana,San Pedro,CE01G0248,IEH SOLAR CHILE SPA
431,PMGD TER REY,Termoeléctricas,SAGESA S.A.,Los Ríos,Corral,CE04G0018,SOCIEDAD GENERADORA AUSTRAL S.A.
432,PMGD HP TRANQUIL,Hidroeléctricas,EMPRESA ELÉCTRICA TRANQUIL SPA,Los Ríos,Panguipulli,CE01G0250,EMPRESA ELÉCTRICA TRANQUIL SPA
435,PMGD PFV ÑILHUE,Solares,GESTEL INGENIERÍA LIMITADA,Valparaíso,Catemu,CE01G0251,GESTEL INGENIERÍA LIMITADA
436,PMGD PE LEBU III,Eólicas,PARQUE EÓLICO LEBU-TORO SPA,Biobío,Lebu,CE02G0053,PARQUE EÓLICO LEBU-TORO SPA
437,PMGD PFV EL BOCO,Solares,GS INIMA CHILE S.A.,Valparaíso,Quillota,CE01G1078,GS INIMA CHILE S.A.
438,PMGD HP CHANLEUFU II,Hidroeléctricas,LÁGRIMAS DEL SUR SPA,Los Lagos,Puyehue,CE01G0125,LÁGRIMAS DEL SUR SPA
439,PMGD PFV EL SAUCE,Solares,CHESTER SOLAR V SPA,OHiggins,Las Cabras,CE01G0254,CHESTER SOLAR V SPA
440,PMGD HP PIUTEL,Hidroeléctricas,PIUTEL GENERACIÓN ELÉCTRICA LIMITADA,Los Ríos,Panguipulli,CE01G0255,PIUTEL GENERACIÓN ELÉCTRICA LIMITADA
441,HP DOS VALLES,Hidroeléctricas,HIDROELECTRICA DOS VALLES SPA,OHiggins,San Fernando,CE01G0253,HIDROELECTRICA DOS VALLES SPA
442,PMGD PFV EL ROBLE,Solares,CHESTER SOLAR IV SPA,Metropolitana,San Pedro,CE01G0256,CHESTER SOLAR IV SPA
443,PMGD PFV EL LAUREL,Solares,LAUREL SPA,Metropolitana,El Monte,CE01G0467,LAUREL SPA
445,PMGD PFV LIRIO DEL CAMPO,Solares,LIRIO DE CAMPO SOLAR SPA,Metropolitana,Melipilla,CE01G0259,LIRIO DE CAMPO SOLAR SPA
454,PE SIERRA GORDA ESTE,Eólicas,ENEL GREEN POWER CHILE S.A.,Antofagasta,Sierra Gorda,CE01G0292,ENEL GREEN POWER CHILE S.A.
455,PFV URIBE SOLAR,Solares,FOTOVOLTAICA NORTE GRANDE 5 SPA,Antofagasta,Antofagasta,CE01G0261,FOTOVOLTAICA NORTE GRANDE 5 SPA
456,PFV BOLERO,Solares,BOLERO SPA,Antofagasta,Sierra Gorda,CE01G0233,BOLERO SPA
